TDEP,GR,HMRS,HDRS,DTC,NPHI,DRHO,PE,RHOB,BSZ,CALI,DCALI
65.7,128.04685974121094,4.613948822021484,3.8279411792755127,97.3882064819336,31.70098876953125,-0.023055750876665115,3.5250861644744873,2.2490506172180176,8.5,8.815982818603516,0.3159828186035156
65.8,127.42391204833984,4.011233806610107,3.4410383701324463,106.13680267333984,34.802520751953125,-0.02382749505341053,3.4062061309814453,2.213723659515381,8.5,8.827763557434082,0.32776355743408203
65.9,124.71904754638672,3.5993354320526123,3.164851188659668,118.54618072509766,36.877017974853516,-0.022843921557068825,3.315523862838745,2.18870210647583,8.5,8.828095436096191,0.3280954360961914
66.0,123.81742095947266,3.1691718101501465,2.919978380203247,137.98291015625,37.57835006713867,-0.02120824344456196,3.267077922821045,2.1581597328186035,8.5,8.909990310668945,0.4099903106689453
66.1,125.26001739501953,3.0618321895599365,2.8235151767730713,152.53366088867188,37.95441436767578,-0.021438248455524445,3.2896485328674316,2.151505947113037,8.5,8.921213150024414,0.42121315002441406
66.2,128.45668029785156,2.9976813793182373,2.7578418254852295,160.7757110595703,38.69139862060547,-0.022396905347704887,3.321747303009033,2.1487884521484375,8.5,8.919893264770508,0.4198932647705078
66.3,129.9812469482422,2.9606878757476807,2.8230948448181152,163.98648071289062,39.884300231933594,-0.02108067087829113,3.3796255588531494,2.161325454711914,8.5,8.903607368469238,0.4036073684692383
66.4,132.4074249267578,2.964463949203491,2.8309731483459473,164.1993408203125,40.841732025146484,-0.01964191161096096,3.396064043045044,2.167888879776001,8.5,8.903388023376465,0.40338802337646484
66.5,130.4894256591797,2.9814794063568115,2.866806745529175,163.5906219482422,40.82380676269531,-0.01732044108211994,3.4121761322021484,2.176077127456665,8.5,8.883578300476074,0.3835783004760742
66.6,126.5550765991211,3.0081732273101807,2.9273931980133057,162.67291259765625,39.807029724121094,-0.01501720305532217,3.430318832397461,2.1789896488189697,8.5,8.85936164855957,0.3593616485595703
66.7,128.01406860351562,3.0180466175079346,2.937265157699585,162.4698944091797,39.288002014160156,-0.013462942093610764,3.408381223678589,2.1825754642486572,8.5,8.828532218933105,0.32853221893310547
66.8,132.88282775878906,3.026479482650757,2.9298696517944336,161.97805786132812,39.61875915527344,-0.01304149255156517,3.3737480640411377,2.1831517219543457,8.5,8.824127197265625,0.324127197265625
66.9,143.07936096191406,3.0371744632720947,2.9212818145751953,160.61729431152344,39.864864349365234,-0.010720115154981613,3.302319049835205,2.192930221557617,8.5,8.824127197265625,0.324127197265625
67.0,143.06297302246094,3.0638999938964844,2.87654447555542,157.29949951171875,39.76711654663086,-0.009539210237562656,3.3061914443969727,2.1961007118225098,8.5,8.804525375366211,0.30452537536621094
67.1,141.29251098632812,3.062832832336426,2.869497776031494,155.27635192871094,38.84535217285156,-0.007346625439822674,3.3253233432769775,2.1996443271636963,8.5,8.78514289855957,0.2851428985595703
67.2,135.24343872070312,3.0502922534942627,2.855978012084961,154.2516326904297,37.48206329345703,-0.006095745600759983,3.3551125526428223,2.1985671520233154,8.5,8.773903846740723,0.27390384674072266
67.3,129.44027709960938,2.9984734058380127,2.7856645584106445,153.21392822265625,37.39216995239258,-0.00367895420640707,3.3957982063293457,2.1891705989837646,8.5,8.738866806030273,0.23886680603027344
67.4,130.86647033691406,2.97025990486145,2.734591007232666,151.25906372070312,37.78726577758789,-0.0035060548689216375,3.4249167442321777,2.18156361579895,8.5,8.732254981994629,0.2322549819946289
67.5,132.5057830810547,2.9452457427978516,2.709578275680542,148.3306884765625,38.120758056640625,-0.002586159622296691,3.4571592807769775,2.178663969039917,8.5,8.725642204284668,0.22564220428466797
67.6,132.2762908935547,2.9078001976013184,2.7096662521362305,141.80535888671875,38.65076446533203,-0.0006564180366694927,3.5027594566345215,2.1779751777648926,8.5,8.778532981872559,0.2785329818725586
67.7,129.7025604248047,2.8979392051696777,2.718949556350708,127.69439697265625,39.972164154052734,8.28042029752396e-05,3.4883768558502197,2.180069923400879,8.5,8.778532981872559,0.2785329818725586
67.8,129.94845581054688,2.9022841453552246,2.7411768436431885,112.21294403076172,40.955055236816406,0.00036374368937686086,3.4488096237182617,2.1783957481384277,8.5,8.796157836914062,0.2961578369140625
