TDEP,BS,GR,NPHI,DT
65.9892,8.5,47.26149,0.22337306,88.0803
65.97395,8.5,47.26149,0.22337306,87.5838
65.95872,8.5,47.26149,0.22332141,87.569374
65.94348,8.5,47.26149,0.22333002,88.961784
65.92824,8.5,47.26149,0.2229857,85.303085
65.913,8.5,47.26149,0.2209456,80.91134
65.89776,8.5,47.26149,0.22027418,79.81775
65.88252,8.5,47.26149,0.22122104,80.80409
65.86728,8.5,47.26149,0.22156537,80.521286
65.85204,8.5,47.26149,0.22173752,83.78376
65.8368,8.5,47.26149,0.22079065,85.93856
65.821556,8.5,47.26149,0.22156537,84.505554
65.80632,8.5,47.26149,0.22066155,84.30192
65.79108,8.5,47.26149,0.21949944,82.77848
65.77584,8.5,47.26149,0.22130713,84.04779
65.7606,8.5,47.26149,0.22117801,84.693016
65.74535,8.5,47.26149,0.2210489,87.89176
65.73012,8.5,47.26149,0.2205324,88.08498
65.714874,8.5,47.26149,0.2210489,86.88999
65.69964,8.5,47.26149,0.22156537,86.65869
65.6844,8.5,47.26149,0.22147465,87.75123
65.66916,8.5,47.26149,0.22141817,88.59087
65.65392,8.5,47.26149,0.21990786,90.39239
65.63868,8.5,47.26149,0.20585252,91.05757
65.62344,8.5,47.26149,0.19490318,92.406555
65.6082,8.5,47.26149,0.17915514,93.85943
65.59296,8.5,47.26149,0.18091848,95.25012
65.57772,8.5,47.26149,0.1797741,94.101326
65.56248,8.5,47.26149,0.18063653,93.9288
65.54724,8.5,47.26149,0.17691234,94.18706
65.532,8.5,47.26149,0.18884529,93.93684
65.516754,8.5,47.26149,0.2073293,88.83457
65.50152,8.5,47.26149,0.21090193,87.27202
65.486275,8.5,50.816025,0.20878166,86.068695
65.47104,8.5,53.4666,0.19590248,86.206696
65.4558,8.5,57.73593,0.22086565,90.44552
65.44056,8.5,55.10551,0.2226711,93.49338
65.42532,8.5,55.284077,0.23039956,89.27435
65.41008,8.5,53.49103,0.20270401,88.689606
65.394844,8.5,54.84367,0.19524151,89.963066
65.3796,8.5,54.068172,0.207185,88.26671
